# FSD50K Dev Needed Files
# Format: fname.wav,echo_class

270882.wav,explosion
390182.wav,explosion
186925.wav,explosion
215599.wav,explosion
186929.wav,explosion
186930.wav,explosion
162361.wav,explosion
161342.wav,explosion
161343.wav,explosion
75328.wav,explosion
186945.wav,explosion
405571.wav,explosion
203331.wav,explosion
186949.wav,explosion
186951.wav,explosion
186952.wav,explosion
121941.wav,explosion
186965.wav,explosion
186967.wav,explosion
402007.wav,explosion
121942.wav,explosion
218717.wav,explosion
218721.wav,explosion
218723.wav,explosion
344686.wav,explosion
120954.wav,explosion
120955.wav,explosion
120956.wav,explosion
147583.wav,explosion
147584.wav,explosion
255111.wav,explosion
365192.wav,explosion
93834.wav,explosion
93836.wav,explosion
93835.wav,explosion
258195.wav,explosion
47252.wav,explosion
93845.wav,explosion
93846.wav,explosion
93844.wav,explosion
418970.wav,explosion
347311.wav,explosion
347327.wav,explosion
174281.wav,explosion
191691.wav,explosion
191693.wav,explosion
435414.wav,explosion
435415.wav,explosion
401628.wav,explosion
401630.wav,explosion
156896.wav,explosion
132833.wav,explosion
110818.wav,explosion
259300.wav,explosion
323316.wav,explosion
434423.wav,explosion
434424.wav,explosion
434425.wav,explosion
434426.wav,explosion
434427.wav,explosion
434429.wav,explosion
434430.wav,explosion
434431.wav,explosion
350977.wav,explosion
86291.wav,explosion
56600.wav,explosion
56603.wav,explosion
324384.wav,explosion
338722.wav,explosion
182050.wav,explosion
331557.wav,explosion
35643.wav,explosion
102719.wav,explosion
102720.wav,explosion
102733.wav,explosion
102734.wav,explosion
189778.wav,explosion
156499.wav,explosion
156500.wav,explosion
100183.wav,explosion
260952.wav,explosion
264031.wav,explosion
127845.wav,explosion
251759.wav,explosion
369529.wav,explosion
333692.wav,explosion
424317.wav,explosion
114048.wav,explosion
114049.wav,explosion
114050.wav,explosion
131967.wav,explosion
114047.wav,explosion
430977.wav,explosion
350602.wav,explosion
350604.wav,explosion
265625.wav,explosion
231322.wav,explosion
343451.wav,explosion
343452.wav,explosion
130974.wav,explosion
322482.wav,explosion
322485.wav,explosion
322489.wav,explosion
322490.wav,explosion
322495.wav,explosion
235968.wav,explosion
322498.wav,explosion
171971.wav,explosion
322501.wav,explosion
322502.wav,explosion
349130.wav,explosion
322507.wav,explosion
349132.wav,explosion
349131.wav,explosion
322510.wav,explosion
322512.wav,explosion
92628.wav,explosion
162261.wav,explosion
162265.wav,explosion
87529.wav,explosion
83945.wav,explosion
367093.wav,explosion
191994.wav,explosion
396795.wav,explosion
89596.wav,explosion
89597.wav,explosion
255850.wav,fire_alarm
69207.wav,fire_alarm
332914.wav,fire_alarm
100357.wav,fire_alarm
403471.wav,fire_alarm
403473.wav,fire_alarm
403474.wav,fire_alarm
104475.wav,fire_alarm
104476.wav,fire_alarm
327711.wav,fire_alarm
67616.wav,fire_alarm
102435.wav,fire_alarm
258089.wav,fire_alarm
249931.wav,fire_alarm
182351.wav,fire_alarm
223320.wav,fire_alarm
22627.wav,fire_alarm
100459.wav,fire_alarm
100460.wav,fire_alarm
100461.wav,fire_alarm
100462.wav,fire_alarm
219244.wav,fire_alarm
321676.wav,fire_alarm
321677.wav,fire_alarm
321678.wav,fire_alarm
258193.wav,fire_alarm
321684.wav,fire_alarm
264346.wav,fire_alarm
329894.wav,fire_alarm
329895.wav,fire_alarm
329896.wav,fire_alarm
333993.wav,fire_alarm
164006.wav,fire_alarm
233645.wav,fire_alarm
125102.wav,fire_alarm
270522.wav,fire_alarm
428221.wav,fire_alarm
18632.wav,fire_alarm
196838.wav,fire_alarm
164089.wav,fire_alarm
164090.wav,fire_alarm
327969.wav,fire_alarm
327970.wav,fire_alarm
270643.wav,fire_alarm
393524.wav,fire_alarm
106831.wav,fire_alarm
26960.wav,fire_alarm
26961.wav,fire_alarm
26962.wav,fire_alarm
26963.wav,fire_alarm
26964.wav,fire_alarm
26965.wav,fire_alarm
221522.wav,fire_alarm
22876.wav,fire_alarm
274806.wav,fire_alarm
389509.wav,fire_alarm
348551.wav,fire_alarm
250261.wav,fire_alarm
250285.wav,fire_alarm
129464.wav,fire_alarm
135613.wav,fire_alarm
72125.wav,fire_alarm
72126.wav,fire_alarm
72127.wav,fire_alarm
72128.wav,fire_alarm
72129.wav,fire_alarm
381382.wav,fire_alarm
25031.wav,fire_alarm
84423.wav,fire_alarm
25032.wav,fire_alarm
387532.wav,fire_alarm
344525.wav,fire_alarm
387534.wav,fire_alarm
211408.wav,fire_alarm
387537.wav,fire_alarm
166356.wav,fire_alarm
121306.wav,fire_alarm
147933.wav,fire_alarm
428526.wav,fire_alarm
238075.wav,fire_alarm
94735.wav,fire_alarm
268823.wav,fire_alarm
270883.wav,fire_alarm
150052.wav,fire_alarm
150053.wav,fire_alarm
350773.wav,fire_alarm
246328.wav,fire_alarm
426559.wav,fire_alarm
39514.wav,fire_alarm
371292.wav,fire_alarm
266848.wav,fire_alarm
35433.wav,fire_alarm
35436.wav,fire_alarm
35437.wav,fire_alarm
201325.wav,fire_alarm
35439.wav,fire_alarm
35441.wav,fire_alarm
96890.wav,fire_alarm
342663.wav,fire_alarm
342664.wav,fire_alarm
389775.wav,fire_alarm
70289.wav,fire_alarm
324248.wav,fire_alarm
414366.wav,fire_alarm
139958.wav,fire_alarm
404161.wav,fire_alarm
262853.wav,fire_alarm
96973.wav,fire_alarm
33497.wav,fire_alarm
262878.wav,fire_alarm
92897.wav,fire_alarm
74474.wav,fire_alarm
262897.wav,fire_alarm
262900.wav,fire_alarm
250629.wav,fire_alarm
340750.wav,fire_alarm
203539.wav,fire_alarm
203540.wav,fire_alarm
250654.wav,fire_alarm
273187.wav,fire_alarm
52004.wav,fire_alarm
156453.wav,fire_alarm
398123.wav,fire_alarm
238390.wav,fire_alarm
265017.wav,fire_alarm
324415.wav,fire_alarm
148297.wav,fire_alarm
93020.wav,fire_alarm
334684.wav,fire_alarm
324459.wav,fire_alarm
82797.wav,fire_alarm
185199.wav,fire_alarm
9077.wav,fire_alarm
207751.wav,fire_alarm
367500.wav,fire_alarm
418705.wav,fire_alarm
423929.wav,fire_alarm
158622.wav,fire_alarm
338853.wav,fire_alarm
103335.wav,fire_alarm
54193.wav,fire_alarm
33723.wav,fire_alarm
33724.wav,fire_alarm
33725.wav,fire_alarm
33726.wav,fire_alarm
33727.wav,fire_alarm
33728.wav,fire_alarm
33729.wav,fire_alarm
33730.wav,fire_alarm
33731.wav,fire_alarm
33732.wav,fire_alarm
33733.wav,fire_alarm
33734.wav,fire_alarm
33735.wav,fire_alarm
33736.wav,fire_alarm
33737.wav,fire_alarm
33738.wav,fire_alarm
216009.wav,fire_alarm
33740.wav,fire_alarm
33741.wav,fire_alarm
33742.wav,fire_alarm
33739.wav,fire_alarm
340942.wav,fire_alarm
33744.wav,fire_alarm
33743.wav,fire_alarm
99282.wav,fire_alarm
33748.wav,fire_alarm
33749.wav,fire_alarm
33745.wav,fire_alarm
33746.wav,fire_alarm
33747.wav,fire_alarm
33751.wav,fire_alarm
33750.wav,fire_alarm
33752.wav,fire_alarm
404456.wav,fire_alarm
199657.wav,fire_alarm
324586.wav,fire_alarm
132074.wav,fire_alarm
156672.wav,fire_alarm
336897.wav,fire_alarm
336896.wav,fire_alarm
128021.wav,fire_alarm
322581.wav,fire_alarm
48151.wav,fire_alarm
322582.wav,fire_alarm
216090.wav,fire_alarm
37915.wav,fire_alarm
271389.wav,fire_alarm
117793.wav,fire_alarm
62502.wav,fire_alarm
121904.wav,fire_alarm
121908.wav,fire_alarm
361537.wav,fire_alarm
76878.wav,fire_alarm
197713.wav,fire_alarm
418898.wav,fire_alarm
111707.wav,fire_alarm
365667.wav,fire_alarm
78948.wav,fire_alarm
371836.wav,fire_alarm
205951.wav,fire_alarm
201855.wav,fire_alarm
128138.wav,fire_alarm
156831.wav,fire_alarm
369847.wav,fire_alarm
201917.wav,fire_alarm
244927.wav,fire_alarm
244932.wav,fire_alarm
400583.wav,fire_alarm
419023.wav,fire_alarm
34005.wav,fire_alarm
369879.wav,fire_alarm
369880.wav,fire_alarm
255193.wav,fire_alarm
255194.wav,fire_alarm
255195.wav,fire_alarm
367839.wav,fire_alarm
410851.wav,fire_alarm
269541.wav,fire_alarm
423141.wav,fire_alarm
169209.wav,fire_alarm
154894.wav,fire_alarm
382236.wav,fire_alarm
245028.wav,fire_alarm
13613.wav,fire_alarm
249150.wav,fire_alarm
36170.wav,fire_alarm
83280.wav,fire_alarm
56671.wav,fire_alarm
353635.wav,fire_alarm
337257.wav,fire_alarm
185708.wav,fire_alarm
21871.wav,fire_alarm
372087.wav,fire_alarm
361856.wav,fire_alarm
253313.wav,fire_alarm
253314.wav,fire_alarm
253315.wav,fire_alarm
253316.wav,fire_alarm
335248.wav,fire_alarm
341395.wav,fire_alarm
400792.wav,fire_alarm
345497.wav,fire_alarm
66973.wav,fire_alarm
167337.wav,fire_alarm
316843.wav,fire_alarm
318910.wav,fire_alarm
67010.wav,fire_alarm
347586.wav,fire_alarm
275910.wav,fire_alarm
15813.wav,fire_alarm
323016.wav,fire_alarm
9674.wav,fire_alarm
323019.wav,fire_alarm
251341.wav,fire_alarm
249304.wav,fire_alarm
318945.wav,fire_alarm
171493.wav,fire_alarm
171496.wav,fire_alarm
67048.wav,fire_alarm
89589.wav,fire_alarm
171515.wav,fire_alarm
400894.wav,fire_alarm
5635.wav,fire_alarm
392721.wav,fire_alarm
202258.wav,fire_alarm
265769.wav,fire_alarm
110133.wav,fire_alarm
126519.wav,fire_alarm
126559.wav,fire_alarm
126560.wav,fire_alarm
126561.wav,fire_alarm
388709.wav,fire_alarm
188012.wav,fire_alarm
155251.wav,fire_alarm
341621.wav,fire_alarm
204423.wav,fire_alarm
204424.wav,fire_alarm
204425.wav,fire_alarm
204426.wav,fire_alarm
382614.wav,fire_alarm
165542.wav,fire_alarm
24232.wav,fire_alarm
24233.wav,fire_alarm
24236.wav,fire_alarm
251564.wav,fire_alarm
202423.wav,fire_alarm
407240.wav,fire_alarm
413391.wav,fire_alarm
177874.wav,fire_alarm
42707.wav,fire_alarm
34524.wav,fire_alarm
34525.wav,fire_alarm
202474.wav,fire_alarm
401132.wav,fire_alarm
364270.wav,fire_alarm
364271.wav,fire_alarm
55031.wav,fire_alarm
265977.wav,fire_alarm
198408.wav,fire_alarm
198409.wav,fire_alarm
241419.wav,fire_alarm
202512.wav,fire_alarm
157468.wav,fire_alarm
134952.wav,fire_alarm
40751.wav,fire_alarm
124734.wav,fire_alarm
96063.wav,fire_alarm
368450.wav,fire_alarm
188240.wav,fire_alarm
192343.wav,fire_alarm
178032.wav,fire_alarm
434055.wav,fire_alarm
204684.wav,fire_alarm
128910.wav,fire_alarm
221085.wav,fire_alarm
221086.wav,fire_alarm
221087.wav,fire_alarm
221088.wav,fire_alarm
55214.wav,fire_alarm
69552.wav,fire_alarm
368563.wav,fire_alarm
202676.wav,fire_alarm
14262.wav,fire_alarm
432063.wav,fire_alarm
223176.wav,fire_alarm
395213.wav,fire_alarm
403449.wav,fire_alarm
135509.wav,fire_alarm
135511.wav,fire_alarm
154954.wav,fire_alarm
154956.wav,fire_alarm
34853.wav,fire_alarm
344224.wav,fire_alarm
392742.wav,fire_alarm
392743.wav,fire_alarm
44182.wav,fire_alarm
235265.wav,fire_alarm
250096.wav,fire_alarm
274759.wav,fire_alarm
57884.wav,fire_alarm
274436.wav,fire_alarm
69652.wav,fire_alarm
360473.wav,fire_alarm
36896.wav,fire_alarm
360480.wav,fire_alarm
391215.wav,fire_alarm
88112.wav,fire_alarm
55356.wav,fire_alarm
55357.wav,fire_alarm
90189.wav,fire_alarm
90190.wav,fire_alarm
90191.wav,fire_alarm
90192.wav,fire_alarm
90193.wav,fire_alarm
360528.wav,fire_alarm
22622.wav,fire_alarm
45155.wav,fire_alarm
122989.wav,fire_alarm
122990.wav,fire_alarm
344178.wav,fire_alarm
256127.wav,fire_alarm
258176.wav,fire_alarm
258177.wav,fire_alarm
258178.wav,fire_alarm
258175.wav,fire_alarm
256159.wav,fire_alarm
256160.wav,fire_alarm
24735.wav,fire_alarm
24736.wav,fire_alarm
428206.wav,fire_alarm
178355.wav,fire_alarm
168117.wav,fire_alarm
432313.wav,fire_alarm
250047.wav,fire_alarm
250048.wav,fire_alarm
250049.wav,fire_alarm
250050.wav,fire_alarm
250051.wav,fire_alarm
250052.wav,fire_alarm
256210.wav,fire_alarm
256211.wav,fire_alarm
26834.wav,fire_alarm
102623.wav,fire_alarm
162022.wav,fire_alarm
254186.wav,fire_alarm
106744.wav,fire_alarm
178435.wav,fire_alarm
178437.wav,fire_alarm
178439.wav,fire_alarm
178440.wav,fire_alarm
178441.wav,fire_alarm
366862.wav,fire_alarm
223505.wav,fire_alarm
223506.wav,fire_alarm
188693.wav,fire_alarm
188694.wav,fire_alarm
188695.wav,fire_alarm
332073.wav,fire_alarm
414008.wav,fire_alarm
223562.wav,fire_alarm
241998.wav,fire_alarm
242000.wav,fire_alarm
26974.wav,fire_alarm
188770.wav,fire_alarm
344424.wav,fire_alarm
178537.wav,fire_alarm
96637.wav,fire_alarm
317851.wav,fire_alarm
188828.wav,fire_alarm
59805.wav,fire_alarm
59806.wav,fire_alarm
59807.wav,fire_alarm
135584.wav,fire_alarm
364974.wav,fire_alarm
217527.wav,fire_alarm
426425.wav,fire_alarm
98746.wav,fire_alarm
80341.wav,fire_alarm
152025.wav,fire_alarm
80345.wav,fire_alarm
80355.wav,fire_alarm
389604.wav,fire_alarm
125420.wav,fire_alarm
367087.wav,fire_alarm
207352.wav,fire_alarm
211451.wav,fire_alarm
328188.wav,fire_alarm
188930.wav,fire_alarm
188931.wav,fire_alarm
268805.wav,fire_alarm
135691.wav,fire_alarm
315919.wav,fire_alarm
137774.wav,fire_alarm
432689.wav,fire_alarm
426548.wav,fire_alarm
426549.wav,fire_alarm
164404.wav,fire_alarm
31299.wav,fire_alarm
182857.wav,fire_alarm
170573.wav,fire_alarm
346711.wav,fire_alarm
316001.wav,fire_alarm
326252.wav,fire_alarm
275053.wav,fire_alarm
268916.wav,fire_alarm
268917.wav,fire_alarm
426615.wav,fire_alarm
41596.wav,fire_alarm
178817.wav,fire_alarm
178819.wav,fire_alarm
178820.wav,fire_alarm
178821.wav,fire_alarm
98950.wav,fire_alarm
178823.wav,fire_alarm
266891.wav,fire_alarm
45720.wav,fire_alarm
45721.wav,fire_alarm
66210.wav,fire_alarm
371369.wav,fire_alarm
133813.wav,fire_alarm
352958.wav,fire_alarm
361153.wav,fire_alarm
361154.wav,fire_alarm
62164.wav,fire_alarm
144084.wav,fire_alarm
94933.wav,fire_alarm
62167.wav,fire_alarm
176859.wav,fire_alarm
158427.wav,fire_alarm
78565.wav,fire_alarm
66288.wav,fire_alarm
82673.wav,fire_alarm
66289.wav,fire_alarm
66290.wav,fire_alarm
66291.wav,fire_alarm
66292.wav,fire_alarm
66293.wav,fire_alarm
66294.wav,fire_alarm
66295.wav,fire_alarm
422649.wav,fire_alarm
66296.wav,fire_alarm
422651.wav,fire_alarm
66297.wav,fire_alarm
66298.wav,fire_alarm
66300.wav,fire_alarm
262911.wav,fire_alarm
66303.wav,fire_alarm
66301.wav,fire_alarm
66302.wav,fire_alarm
66299.wav,fire_alarm
414471.wav,fire_alarm
414472.wav,fire_alarm
215818.wav,fire_alarm
215819.wav,fire_alarm
215820.wav,fire_alarm
215821.wav,fire_alarm
215822.wav,fire_alarm
68381.wav,fire_alarm
271152.wav,fire_alarm
138042.wav,fire_alarm
273213.wav,fire_alarm
179012.wav,fire_alarm
242502.wav,fire_alarm
164690.wav,fire_alarm
197472.wav,fire_alarm
144236.wav,fire_alarm
265080.wav,fire_alarm
265083.wav,fire_alarm
265085.wav,fire_alarm
265088.wav,fire_alarm
156546.wav,fire_alarm
25480.wav,fire_alarm
95112.wav,fire_alarm
95114.wav,fire_alarm
7056.wav,fire_alarm
121750.wav,fire_alarm
121754.wav,fire_alarm
349084.wav,fire_alarm
121756.wav,fire_alarm
121758.wav,fire_alarm
121759.wav,fire_alarm
158621.wav,fire_alarm
175039.wav,fire_alarm
267199.wav,fire_alarm
273345.wav,fire_alarm
273344.wav,fire_alarm
273348.wav,fire_alarm
273349.wav,fire_alarm
103391.wav,fire_alarm
365539.wav,fire_alarm
166888.wav,fire_alarm
164843.wav,fire_alarm
29679.wav,fire_alarm
390136.wav,fire_alarm
17405.wav,fire_alarm
384004.wav,fire_alarm
214020.wav,fire_alarm
130054.wav,fire_alarm
160775.wav,fire_alarm
384009.wav,fire_alarm
212006.wav,fire_alarm
271399.wav,fire_alarm
60463.wav,fire_alarm
31799.wav,fire_alarm
369720.wav,fire_alarm
177209.wav,fire_alarm
31802.wav,fire_alarm
269379.wav,fire_alarm
269380.wav,fire_alarm
326730.wav,fire_alarm
324693.wav,fire_alarm
117848.wav,fire_alarm
347234.wav,fire_alarm
334947.wav,fire_alarm
334948.wav,fire_alarm
179301.wav,fire_alarm
171113.wav,fire_alarm
351343.wav,fire_alarm
15482.wav,fire_alarm
76927.wav,fire_alarm
410756.wav,fire_alarm
70789.wav,fire_alarm
189579.wav,fire_alarm
201877.wav,fire_alarm
201878.wav,fire_alarm
117922.wav,fire_alarm
369839.wav,fire_alarm
9392.wav,fire_alarm
9393.wav,fire_alarm
369840.wav,fire_alarm
369841.wav,fire_alarm
369842.wav,fire_alarm
21680.wav,fire_alarm
369844.wav,fire_alarm
404678.wav,fire_alarm
165063.wav,fire_alarm
85205.wav,fire_alarm
25821.wav,fire_alarm
77031.wav,fire_alarm
363771.wav,fire_alarm
29950.wav,fire_alarm
29951.wav,fire_alarm
201984.wav,fire_alarm
236799.wav,fire_alarm
29962.wav,fire_alarm
349483.wav,fire_alarm
79147.wav,fire_alarm
390448.wav,fire_alarm
73011.wav,fire_alarm
351540.wav,fire_alarm
351541.wav,fire_alarm
351542.wav,fire_alarm
351543.wav,fire_alarm
351545.wav,fire_alarm
351547.wav,fire_alarm
351548.wav,fire_alarm
345421.wav,fire_alarm
38229.wav,fire_alarm
85344.wav,fire_alarm
249191.wav,fire_alarm
155009.wav,fire_alarm
30085.wav,fire_alarm
19880.wav,fire_alarm
87466.wav,fire_alarm
339370.wav,fire_alarm
60844.wav,fire_alarm
32217.wav,fire_alarm
32218.wav,fire_alarm
32219.wav,fire_alarm
36316.wav,fire_alarm
36317.wav,fire_alarm
351721.wav,fire_alarm
89593.wav,fire_alarm
97786.wav,fire_alarm
97789.wav,fire_alarm
175620.wav,fire_alarm
175621.wav,fire_alarm
50700.wav,fire_alarm
87574.wav,fire_alarm
265755.wav,fire_alarm
185887.wav,fire_alarm
93733.wav,fire_alarm
126504.wav,fire_alarm
130604.wav,fire_alarm
212531.wav,fire_alarm
87604.wav,fire_alarm
212533.wav,fire_alarm
212534.wav,fire_alarm
212535.wav,fire_alarm
212532.wav,fire_alarm
431669.wav,fire_alarm
93755.wav,fire_alarm
319036.wav,fire_alarm
339518.wav,fire_alarm
245311.wav,fire_alarm
319040.wav,fire_alarm
245313.wav,fire_alarm
71234.wav,fire_alarm
429635.wav,fire_alarm
161347.wav,fire_alarm
153159.wav,fire_alarm
3659.wav,fire_alarm
3660.wav,fire_alarm
34381.wav,fire_alarm
77392.wav,fire_alarm
79440.wav,fire_alarm
28242.wav,fire_alarm
71255.wav,fire_alarm
345699.wav,fire_alarm
20069.wav,fire_alarm
345702.wav,fire_alarm
151147.wav,fire_alarm
323186.wav,fire_alarm
157299.wav,fire_alarm
118391.wav,fire_alarm
20101.wav,fire_alarm
63124.wav,fire_alarm
251540.wav,fire_alarm
56986.wav,fire_alarm
56987.wav,fire_alarm
153252.wav,fire_alarm
249509.wav,fire_alarm
249510.wav,fire_alarm
153255.wav,fire_alarm
249511.wav,fire_alarm
249513.wav,fire_alarm
186022.wav,fire_alarm
249515.wav,fire_alarm
186040.wav,fire_alarm
251583.wav,fire_alarm
267967.wav,fire_alarm
267969.wav,fire_alarm
77508.wav,fire_alarm
134862.wav,fire_alarm
24271.wav,fire_alarm
134863.wav,fire_alarm
79568.wav,fire_alarm
421596.wav,fire_alarm
26348.wav,fire_alarm
337655.wav,fire_alarm
337656.wav,fire_alarm
337657.wav,fire_alarm
337658.wav,fire_alarm
83704.wav,fire_alarm
151292.wav,fire_alarm
26373.wav,fire_alarm
257806.wav,fire_alarm
253713.wav,fire_alarm
79633.wav,fire_alarm
79638.wav,fire_alarm
79639.wav,fire_alarm
79650.wav,fire_alarm
139055.wav,fire_alarm
208699.wav,fire_alarm
208700.wav,fire_alarm
20284.wav,fire_alarm
112455.wav,fire_alarm
274252.wav,fire_alarm
259926.wav,fire_alarm
259927.wav,fire_alarm
415576.wav,fire_alarm
415577.wav,fire_alarm
397158.wav,fire_alarm
397159.wav,fire_alarm
397161.wav,fire_alarm
397162.wav,fire_alarm
274288.wav,fire_alarm
274289.wav,fire_alarm
122740.wav,fire_alarm
186244.wav,fire_alarm
3977.wav,fire_alarm
22410.wav,fire_alarm
22411.wav,fire_alarm
157590.wav,fire_alarm
157591.wav,fire_alarm
157592.wav,fire_alarm
157593.wav,fire_alarm
259992.wav,fire_alarm
77723.wav,fire_alarm
257949.wav,fire_alarm
257950.wav,fire_alarm
92066.wav,fire_alarm
147386.wav,fire_alarm
411581.wav,fire_alarm
178112.wav,fire_alarm
24520.wav,fire_alarm
434124.wav,fire_alarm
223182.wav,fire_alarm
223183.wav,fire_alarm
69585.wav,fire_alarm
88021.wav,fire_alarm
98269.wav,fire_alarm
94175.wav,fire_alarm
274400.wav,fire_alarm
51169.wav,fire_alarm
407521.wav,fire_alarm
352230.wav,fire_alarm
391143.wav,fire_alarm
169958.wav,fire_alarm
253928.wav,fire_alarm
352234.wav,fire_alarm
352235.wav,fire_alarm
110570.wav,fire_alarm
65514.wav,fire_alarm
251894.wav,fire_alarm
142903.wav,fire_alarm
95739.wav,fire_alarm
175416.wav,fire_alarm
176555.wav,fire_alarm
75828.wav,fire_alarm
202128.wav,fire_alarm
391976.wav,fire_alarm
391978.wav,fire_alarm
391980.wav,fire_alarm
38031.wav,fire_alarm
176066.wav,fire_alarm
186049.wav,gunshot
405504.wav,gunshot
67585.wav,gunshot
178180.wav,gunshot
155654.wav,gunshot
67593.wav,gunshot
391180.wav,gunshot
67576.wav,gunshot
32799.wav,gunshot
350264.wav,gunshot
32841.wav,gunshot
32842.wav,gunshot
368736.wav,gunshot
184418.wav,gunshot
157799.wav,gunshot
157800.wav,gunshot
157801.wav,gunshot
100465.wav,gunshot
96376.wav,gunshot
155790.wav,gunshot
182429.wav,gunshot
182431.wav,gunshot
391328.wav,gunshot
182435.wav,gunshot
368805.wav,gunshot
145580.wav,gunshot
161968.wav,gunshot
161969.wav,gunshot
161970.wav,gunshot
164020.wav,gunshot
